Title,Genre,Ratings,Vote_Counts,Runtime
11.11.18 Soldat Inconnu,war,6.5,190,78
24 Hours to D-Day,war,3.6,86,83
72 Sigan,war,6.5,190,240
Air War,war,6.4,123,106
All the Lost Ones,war,3.6,274,106
Amaran,war,8.1,20000,167
Amarjeet Rana,war,6.5,190,98
"America, Invaded",war,7.3,20,82
Anzac.Lemnos.1915.,war,6.5,190,98
"Arlempdes, la légende du premier château de la Loire",war,6.8,13,98
As Noites Ainda Cheiram a Pólvora,war,6.5,190,92
Aserb: The Squadron,war,5.2,335,120
Atatürk II: 1881-1919,war,8.9,2300,141
Athletes of War,war,6.5,190,95
Attack Jiajin Mountain,war,6.5,190,96
Bardejov,war,4.7,182,85
Battlefield,war,6.2,713,104
Bau: Artist at War,war,7.2,65,130
Before Dawn,war,5.4,1100,101
Blitz,war,6.2,17000,120
Blood Vendetta,war,7.7,240,90
Bloody Sniper,war,6.5,190,93
Bozji gnjev,war,7.2,59,111
Burgemeestersmoord,war,6.4,87,98
Burning Stars,war,6.5,48,84
Call of Duty,war,8.6,13,98
"Canadian, Sniper",war,3.4,369,83
Captain Miller,war,7.2,14000,157
Casques bleuEs,war,6.5,190,82
Chandu Champion,war,7.8,35000,142
Chhava,war,8.4,2300,98
Churchill's Forgotten War,war,7.4,14,98
Colonel Xanthi,war,6.5,190,98
Conquer: Lahad Datu,war,6.6,553,120
Da Tu Wei,war,6.5,190,110
"Dao, Pho Va Piano",war,5.7,216,100
Decoded,war,5.7,474,156
Der Deserteur,war,8.7,29,93
Dharmarakshak Mahaveer Chhatrapati Sambhaji Maharaj,war,8.3,674,174
Dirty Angels,war,4.4,4300,104
Do You Want to See Part Two?,war,6.5,190,74
Dosije Kosovo - Pogrom,war,7.6,5,109
Drava se ne predaje,war,6.6,14,76
Duffle Bag Boy,war,6.8,60,98
Dun huang ying xiong,war,6.5,190,98
Dwie siostry,war,5.4,43,92
Eddy's oorlog,war,7.7,46,101
Ei koskaan yksin,war,7.1,468,85
Ekpebiwo m (I have Decided),war,6.5,190,98
El laberinto. La guerra secreta de España,war,6.5,190,121
Escape from Germany,war,5.4,1100,97
Fedeltà Soldati. Prigionieri.,war,6.5,190,80
For the Love of the Motherland,war,6.5,190,98
Fortunes of War,war,3.6,183,85
"Gaza, since October 7",war,4.6,7,94
Goebbels and the Führer,war,6.7,2700,135
Haywire: Gunslingers,war,2.1,32,85
Hengyang 1944,war,8.2,19,98
Here We Are Now,war,6.5,190,62
Hitler,war,5.2,317,128
In the Fire of War,war,6.9,238,115
Intercepted,war,8.1,594,95
Invasion,war,4.8,758,91
Iron Lady Sniper,war,6.5,190,72
Iyunskaya polyn,war,8.7,7,79
Jewish Revenge 6: Gaza in Focus,war,6.0,27,70
Kadetar,war,6.5,190,119
Kang Mak,war,6.4,908,122
Kara Kyz,war,4.9,22,111
Kargil 1999- The Untold Story of the Indian Air Force,war,8.5,15,98
Klitschko: More Than a Fight,war,6.3,514,96
Korni,war,7.5,20,137
Krasnye lenty,war,5.3,23,62
Krigsvarsleren,war,7.8,8,98
Laws of Man,war,5.0,1400,98
Le quatrième mur,war,6.3,148,116
Levizia,war,6.5,190,98
Life and Death in Gaza,war,8.3,12,88
Los indomables,war,6.5,9,106
"Love, Courage and the Battle of Bushy Run",war,5.0,197,113
Ludzie,war,6.5,59,117
Majnoon,war,6.9,35,98
Malvinas: O Diário de uma Guerra,war,6.5,190,98
Murder Company,war,3.6,1600,86
My Dead Friend Zoe,war,6.5,2900,103
Mythical Creatures,war,6.5,190,90
No Tomorrow,war,6.5,190,98
Nr. 24,war,7.5,16000,111
Occupied,war,6.5,190,77
October 7 - Al Jazeera Investigations,war,5.3,61,60
On Moral Grounds,war,8.4,7,74
Operation Star,war,7.8,25,102
Operation Thule,war,6.5,190,160
Peter Brook's the Mahabharata (8K),war,6.5,190,173
Pidyomna syla,war,8.5,73,87
"Por ti, Portugal, eu juro!",war,8.0,7,98
Porcelain War,war,7.1,1300,87
Pozyvnoy «Passazhir»,war,4.8,236,101
Prazdnik,war,6.5,190,73
Quisling: The Final Days,war,7.1,1300,146
Red Poppies,war,4.7,342,122
Renverse,war,6.5,190,127
Rinnans rival,war,6.5,190,94
Roots,war,6.5,190,92
Russians at War,war,2.0,1100,129
Saigon,war,6.5,190,98
Scars,war,7.8,26,74
Sem chyornykh bumag,war,6.7,59,96
Sha Hai zhi Men,war,6.5,190,98
Songs of Slow Burning Earth,war,7.6,280,95
The Ballad of Davy Crockett,war,4.6,269,96
The Battle for Kyiv,war,7.2,39,98
The Dakota War: Attack on Fort Ridgely,war,6.5,190,80
The Daughter,war,6.4,10,97
The Dugout,war,5.4,766,114
The Epidemic,war,5.9,71,95
The Friendly,war,9.0,34,101
The Invasion,war,6.6,120,145
The Last Front,war,5.5,646,98
The Liberation Men,war,6.5,92,90
The Lights,war,6.5,190,98
The Ministry of Ungentlemanly Warfare,war,6.8,140000,122
The Mousetrap,war,7.2,22,87
The Other Side,war,5.9,281,97
The Shamrock Spitfire,war,5.2,505,108
The Six Triple Eight,war,6.7,28000,127
The Volunteers: The Battle of Life and Death,war,6.1,252,144
The West Sky,war,5.1,139,98
The Witch: Revenge,war,5.3,888,100
The Yin Yang Master Zero,war,5.7,295,112
The Youngest Partisan,war,6.5,190,135
Twisted America,war,6.5,190,98
Ukraine Mon Amour,war,6.5,190,98
Un milione di granelli di sabbia,war,6.5,190,64
Uprising,war,6.6,6000,126
VC 571,war,6.5,190,98
Village of Death: Oradour-sur-Glane 1944,war,7.8,15,98
Vremya vernutsya,war,6.7,20,100
WWII: Operation Phoenix,war,5.7,103,106
War Blade,war,3.9,259,94
We Were Recruits,war,7.0,249,92
White Courage,war,6.3,644,115
William Tell,war,5.7,3500,134
Without Blood,war,7.3,114,91
Wo de Ye Ye,war,6.5,190,97
